Nome Cliente;cidade;estado;codigo;contrato;telefone
Davi Albuquerque;Fortaleza;Espírito Santo;ebe8ad53-fb17-4ecf-a4d5-d8c7cf9028c0;638;(38) 8190-6025
Clara Costa;Belém;Rio Grande do Norte;c3bd77be-fbda-42f8-a7f8-0bbd667bba9f;573;(98) 69488-7600
Talita Macedo;João Pessoa;Mato Grosso do Sul;2ad04e53-a496-4ec1-8bda-938c31cf6970;299;(33) 9397-5707
Gúbio Moreira;Belém;Rondônia;9dfbeb33-e493-4697-b3e6-527fe27685be;317;(36) 1423-4214
Dr. Margarida Franco;Boa Vista;Goiás;9162158e-d01c-4cdb-aa56-0df21c009ab5;954;(91) 10576-5145
Gael Batista;Boa Vista;Minas Gerais;d8d49be0-9cf4-4cef-a71e-271b5a1997a3;469;(19) 1205-9700
Luiza Silva;Cuiabá;Espírito Santo;343eb0c5-762d-41d0-ae6d-cacb6565314e;614;(39) 5445-4815
Gael Braga;Goiânia;Mato Grosso;12b68d27-83b2-4e32-9ac8-e7d93c3b1bcd;508;(31) 71153-3622
Fábio Braga Neto;Rio Branco;Goiás;695ed044-095b-4aed-a9fd-43b5ffc4310d;267;(59) 5345-9686
Paula Barros;Boa Vista;Ceará;c1bf54b6-d395-4049-b909-526883f833de;896;(23) 9857-9820
Caio Martins Jr.;Palmas;Minas Gerais;412087d7-26ff-42a1-9dce-cfd342ebe57d;240;(69) 7335-0358
Enzo Saraiva;Rio de Janeiro;Paraná;9a4d3492-3340-4eb6-952e-7062459bdd57;412;(32) 31051-5347
Suélen Moraes;João Pessoa;Mato Grosso do Sul;7cb7d9d2-3e5e-4cbf-9011-9f8704da4810;430;(31) 43869-5798
João Lucas Batista;São Luís;Sergipe;e58adb2d-a4b5-4ab9-b9f6-ac528178ec80;234;(64) 59371-9709
Roberta Moraes;Manaus;São Paulo;17d53211-f6b5-4757-abe8-7c9eda05952d;358;(43) 4265-5089
Yasmin Moraes;Rio Branco;Mato Grosso;b919161b-6616-4b26-b609-835500f89483;617;(43) 7762-9338
Júlio Melo;Aracaju;Santa Catarina;efaa1f4f-2333-4d60-b7ac-26a1a1555372;820;(87) 14075-4327
Breno Macedo Filho;Teresina;Mato Grosso do Sul;ff1b88aa-8e93-4780-8c36-ecbec27890d4;231;(99) 76752-3970
Margarida Reis Neto;Manaus;Mato Grosso;48a08383-6962-4262-a691-9799a60cd1e9;369;(57) 7425-3115
Calebe Barros;Manaus;Alagoas;ed271fe7-a0bf-4c0b-9ad0-a2252c9ee745;624;(23) 7289-1477
Antônio Pereira;Porto Alegre;Maranhão;be8392f4-b060-43c0-8d5d-ce1e6821fd56;683;(99) 5507-2813
Paulo Barros;Rio Branco;São Paulo;4f307bf8-5ca4-4768-88a6-074331f3f4c4;113;(22) 4279-5835
Ígor Macedo;Rio de Janeiro;Amazonas;a914977f-03b4-4882-a59c-1dc7196801c1;905;(91) 47733-6819
Daniel Braga;Fortaleza;Tocantins;700aa9ac-df6b-4998-a7f5-ffd42cd38b5b;389;(37) 89411-8658
Ana Luiza Pereira;Rio Branco;Espírito Santo;b42bacfb-a8ff-4cc9-a6c6-c42eb837d860;867;(19) 5383-3759
Bernardo Macedo;São Luís;Rio Grande do Norte;fee312ef-48a4-4778-bc77-83b1495d948b;269;(21) 4577-4614
Ofélia Xavier;Natal;Rio Grande do Norte;0634a1e1-e87e-478c-abc1-ebb40b7b1d66;492;(38) 55766-5564
Guilherme Oliveira;Belo Horizonte;Pernambuco;151c5938-4364-45f6-81c9-784fdbe05e0e;948;(50) 36910-4464
Warley Costa;Natal;Bahia;14549e23-fe9b-4cf4-bcd0-b7f8d03de3d3;950;(11) 4823-7176
Célia Santos;Recife;Rio Grande do Sul;91066243-36d2-4cf2-9f26-48bcd91b039a;871;(40) 2946-6741
Dr. Hugo Albuquerque;Fortaleza;Acre;d439ebff-0068-4151-9f3a-c4b41d64c443;419;(83) 9695-8653
Raul Carvalho;Curitiba;Goiás;f29163d6-a676-4547-beac-7eb0de7e53e3;772;(36) 8713-9919
Ofélia Macedo;Belém;Sergipe;8d204eb1-80b2-475e-94fb-c787f0247c1c;107;(15) 6159-8257
Srta. Maria Luiza Braga;Manaus;Acre;074f0431-2090-4b49-97c4-ea6957dcd06d;651;(88) 3721-2601
Eduardo Moreira;Natal;Paraná;0d20e300-01a8-4e64-81a2-df4c8fd64d9a;495;(41) 2849-5590
Eloá Carvalho;Florianópolis;Mato Grosso;8e147475-18ca-46ec-8072-705d4ed21c9e;819;(19) 59071-3880
Miguel Franco;Aracaju;Amapá;d7463c27-165b-4bfa-b433-cd292d661cae;256;(39) 1588-5527
Enzo Souza;Belo Horizonte;Maranhão;905043d8-1c95-4f81-8f88-46b3ecbbec3e;746;(91) 5469-2506
Noah Silva;Fortaleza;Mato Grosso;01747b09-e782-495f-8974-ea9b582cbb85;717;(32) 92462-8929
Nicolas Macedo;Palmas;Roraima;22bea05f-8716-4d11-8106-a4ff7f994f8c;727;(52) 42962-7194
Gúbio Barros;Porto Velho;Amapá;78d8db2b-53ad-44df-9506-9f2d1119837b;421;(19) 5273-4773
Isabelly Moreira;Rio Branco;Minas Gerais;85a4c680-96ae-40be-a02a-64f52964a7d1;637;(89) 3869-4147
Mariana Braga;Maceió;Goiás;b1fa018e-58c3-4a7d-8b4a-59caa763b047;770;(49) 7155-6509
Heloísa Martins;Natal;Piauí;5ca48d07-03b2-420a-9989-771df6e9b6fd;951;(30) 3537-7595
Miguel Saraiva;Macapá;Rio Grande do Norte;dc1bf10f-cbe9-403f-9258-97ca9d41c611;763;(91) 5085-1461
Lavínia Barros;Recife;Rondônia;53bd4ff4-38be-4bc2-8166-4681a28aec88;132;(73) 1400-7558
Deneval Martins;Macapá;Mato Grosso do Sul;ec488a19-3471-4919-8c18-1e70ff14988e;642;(40) 5803-0936
Fabrício Moraes;Fortaleza;Ceará;a621dcc9-c5be-41ce-8b7b-e5ce4ef08c3b;351;(32) 6393-7041
Mariana Franco;Porto Alegre;Maranhão;07b513ed-34df-4627-b767-0359e8da4023;644;(34) 8626-9390
Márcia Souza;São Luís;São Paulo;3877c61b-0b1e-49ff-ab4c-356891cb41f1;322;(39) 5768-2387
Roberto Silva;Rio de Janeiro;Acre;0d9a5702-d263-4bef-bee1-6145d00c2a33;523;(91) 7705-2237
Paula Melo;Porto Alegre;Piauí;ddc904f3-baa3-447d-89cb-63cab241c5ff;195;(82) 1845-7036
Yago Silva Filho;São Paulo;Goiás;db2164a6-e9cd-4a64-8335-6603138aa9c1;527;(83) 7164-5561
Ana Luiza Nogueira;Fortaleza;Rondônia;f2fb0279-5c65-423e-acb5-0652471a62db;172;(12) 6941-2930
Júlia Oliveira;Brasília;Minas Gerais;5592c228-e861-49e9-99e9-34ac4dbceb50;607;(40) 1916-0582
Dr. Nicolas Santos;Belém;Mato Grosso do Sul;f4828cbe-8e1c-4873-8017-2942856b20e1;604;(95) 29203-7618
Srta. Clara Moraes;Cuiabá;Espírito Santo;bcc23f9d-8d9e-4169-9063-c6ad3d172bad;614;(16) 62891-9530
Dra. Víctor Martins;João Pessoa;Santa Catarina;16647423-32c1-4a35-a9ca-9e1d5ca6ec7b;700;(97) 72749-0434
Sophia Braga;Belém;Mato Grosso do Sul;54ffad75-2476-468a-a0b6-9c840de67200;416;(13) 8059-2679
Srta. Hugo Saraiva;Porto Velho;Rio Grande do Norte;e5b59ff5-9b46-4363-8a08-0a148b09b978;158;(42) 43518-1284
Joana Moraes;São Luís;Rondônia;019037a8-5cf0-4ed5-8f8a-3999bc48c2c6;977;(91) 4733-0227
Rafael Xavier;Campo Grande;Amapá;995ad198-b6e4-4d61-b92b-79a4bde96466;152;(92) 9749-5552
Maria Luiza Macedo;Teresina;Distrito Federal;2f41ff9b-8ead-44dc-8188-cd5eaf27e7c3;589;(62) 3523-9449
Carlos Moraes;São Luís;Paraíba;27090960-d820-466f-b2ae-fd6335a6e7a6;228;(87) 7326-8102
Sra. Emanuel Barros;Salvador;Pernambuco;0619e2e9-f9ce-4239-9d33-1540fb167849;194;(61) 8894-0126
Manuela Saraiva;João Pessoa;Pernambuco;7fcafd01-4cb8-4541-a9f7-13a01cf17590;896;(90) 2024-9726
João Pedro Xavier;São Luís;Minas Gerais;4f31b249-1078-4d54-9e21-4227085fd66e;158;(21) 20200-5048
Lucca Franco;Brasília;Rio Grande do Sul;14f0e530-ed1d-4329-89a4-878abf1692ab;357;(43) 1084-6196
Deneval Melo;Cuiabá;Maranhão;ba96b4b7-dd2a-4252-bb2d-ec258ea12c58;498;(98) 14694-9983
Benjamin Batista;Recife;Minas Gerais;c1bca08b-0627-4504-a475-6f774fbdc542;355;(82) 52971-0975
Sílvia Costa;Porto Alegre;Piauí;d6aa801e-95b8-40a6-80b0-1a0aee9c2113;707;(17) 6035-7499
Marcelo Nogueira;Belém;Rio Grande do Norte;17e69c42-7522-416d-8f22-2cae043e5037;105;(64) 30096-2201
Dra. Lívia Silva;Fortaleza;Sergipe;67134397-50c7-44d5-9fd2-229453ed1ad2;396;(45) 37237-7505
Lara Albuquerque;Campo Grande;Paraná;552ab8af-5fa0-42a3-a9a3-84c021b9abc0;625;(39) 5307-4705
Gustavo Melo;São Luís;Tocantins;80b5a09b-2ad2-4cc7-86e9-b7e99ee8dbf2;149;(89) 8400-9143
Cecília Macedo;Teresina;Maranhão;f40fb169-1e51-49d6-82c7-9c0875e31165;324;(14) 9719-9227
Rebeca Oliveira;Brasília;Tocantins;855f0c07-3b13-45de-9fe8-fd7c1f720d4f;554;(48) 73678-9729
Dr. Marina Moreira;Vitória;Roraima;755f8e92-193b-44d6-9cc9-a7fb864bdfb3;682;(11) 9819-8981
Talita Silva;Fortaleza;Roraima;fb9a44dd-d42b-45b0-898f-95ba8465e9f4;591;(58) 6920-9790
Bernardo Martins;Florianópolis;Mato Grosso do Sul;0a9d081f-7452-4bdb-a236-8103b2286573;655;(97) 3153-0069
Caio Batista;Macapá;Ceará;e30af60f-0433-4e82-8838-7724fd2c25c9;165;(79) 84643-3400
Heitor Saraiva Neto;Macapá;Rio de Janeiro;d0dc5ce8-995a-4651-b6ad-33078f86e59c;373;(11) 4328-0053
Lucas Melo;Macapá;Amazonas;84e7ef8a-e89a-4075-ae81-7db2fef50801;700;(28) 82704-6384
Hélio Souza;Salvador;Rio de Janeiro;0041f640-8ba3-4197-b4de-3f7b1bc84f0f;935;(16) 49861-9268
Lavínia Silva;Rio de Janeiro;Maranhão;e04faf57-cf9e-4442-b6dd-fde022f6ff27;227;(72) 8826-8182
Raul Moreira;Curitiba;São Paulo;5a92ab27-b5a9-4961-af29-4cbb653bb132;831;(97) 4538-2354
Lavínia Carvalho;Aracaju;Pará;1880c91b-7fa5-4775-a3d9-f1fa8563cdc5;338;(37) 39530-4251
Davi Melo;Manaus;Pará;b236db1b-278e-410b-a1e3-a522a6f02c3c;197;(52) 1359-7178
Sr. Murilo Saraiva;Palmas;Amazonas;27c1592e-b574-41d9-90d4-0744125bd1c8;299;(37) 5921-9081
Hélio Santos;Macapá;Ceará;fcbec5b0-bd1f-401e-b84f-9ebb3072b5a0;457;(85) 64366-0053
Sophia Santos;Porto Alegre;Rio de Janeiro;bef2eacc-ceac-4690-b820-575cafa06185;258;(50) 8548-1347
Srta. Margarida Moreira;Porto Alegre;Sergipe;8f57e512-426d-4e32-a997-4854cf5bb4bf;745;(55) 88177-2344
Washington Barros;Curitiba;Bahia;e128d4d0-dbe4-4c3e-ad37-b0c4b859861f;527;(77) 54855-7447
Mariana Melo;Salvador;Pará;ebeadad7-6b60-411b-9ee8-fe784cf6b93b;873;(31) 4010-3839
Feliciano Reis Jr.;Macapá;Espírito Santo;07c6d75b-94f8-4b69-b6a1-a5b4a9d5208a;538;(52) 8397-3033
João Miguel Pereira;São Luís;Alagoas;7ae1e77e-5a8b-4e23-a43a-9f6dcb90fd04;438;(72) 52979-2458
Pedro Henrique Costa;Rio Branco;Goiás;cb80ac36-2e55-44b1-9033-72fca9ade6e2;352;(97) 67283-7659
Fabiano Albuquerque;Macapá;Ceará;ce9f0e3a-c4f6-4706-a40e-08ccb08726a0;666;(32) 3389-2527
Beatriz Oliveira;Curitiba;Tocantins;504fb219-3c7f-424b-97ca-4b523797b595;866;(43) 3321-3959
Arthur Barros;Boa Vista;Bahia;a4a724f6-c211-4ef7-b4c1-1bb2453b6656;461;(18) 8473-2087
Calebe Carvalho Filho;Rio de Janeiro;Espírito Santo;c5196719-bdfd-473e-9af3-fdc00ef55f9c;775;(58) 4089-4949
Janaína Moraes;Recife;Sergipe;fb8eb956-4e30-4f12-824f-dbe013bec94d;888;(35) 6996-9308
Joana Franco;Teresina;Rio Grande do Sul;18eefe90-9cd7-47e7-842f-e9d50630b1c4;365;(89) 85430-7477
Fábio Martins;Macapá;Bahia;0a5d8d93-8729-46dd-8619-fbc8d40e62f1;394;(14) 8025-3797
Sr. Marli Macedo;Maceió;Tocantins;dc54b00d-ee55-4151-a41b-c60c7c5ce269;626;(32) 8483-7038
João Lucas Souza;Recife;Amapá;364f9b7b-8eb5-452b-a575-8768d2de8146;167;(37) 9054-5100
Henrique Franco;Macapá;Espírito Santo;c59a1bb3-08f0-441e-a3bc-32f061ab8157;288;(77) 9498-1669
Calebe Santos;Teresina;Amapá;f875736e-9422-4b58-8d4b-ba83f86bec1c;492;(78) 29304-5125
Pablo Moraes;Rio Branco;Sergipe;bb7f379c-8350-4458-ac1e-0dc630cb92cc;390;(21) 7537-1517
Davi Souza;Campo Grande;São Paulo;281a4a04-b4cc-4f8e-b117-13baaaf168cd;355;(29) 7147-1869
Lorena Costa;Porto Alegre;Mato Grosso do Sul;0c972af6-cf2e-4c5e-a579-091d5a95500f;465;(26) 40382-2576
Sr. Helena Albuquerque;Campo Grande;Espírito Santo;99cb2da9-03a1-4cf0-b8db-24328f8c3916;494;(10) 4980-8306
Alice Macedo;Teresina;Bahia;1206636b-e937-4231-993f-49254985d82a;513;(10) 4367-9506
Manuela Batista;Brasília;Tocantins;52669ae7-9904-4752-9aa4-ab7b92652bcc;970;(35) 87686-9145
Samuel Martins;Campo Grande;Rio de Janeiro;94165310-25cf-4bf7-8e16-3b83d6c73ea1;448;(70) 4368-8085
Nicolas Pereira Neto;Rio de Janeiro;Santa Catarina;012b62ef-1ad6-4529-b8ac-147881e16622;966;(23) 4071-5014
Sra. Dalila Albuquerque;Rio Branco;Amazonas;49b58d20-1939-46f9-9ed5-f06fa3e80407;140;(10) 74619-4411
Meire Souza;Curitiba;Maranhão;73399a71-ae69-4ee2-afa0-e920e940a7d0;742;(69) 6984-1473
Fábio Carvalho;Maceió;Pará;76ef266c-28f2-4245-ba7e-7e04be9b0344;746;(20) 11326-1602
Murilo Pereira;Macapá;Goiás;a9fc69b9-733f-4568-b9b7-b06e1dc8450b;567;(22) 50990-2293
Pedro Henrique Silva;Boa Vista;Mato Grosso do Sul;553d22c1-4f7c-470b-84bc-ceaf06c08a7d;337;(96) 7416-3525
Alexandre Batista Jr.;Porto Velho;Pernambuco;5f67cedd-6f1f-4086-9e4d-b227f313e695;996;(79) 3906-7877
Dr. Murilo Moreira;Palmas;Piauí;e811378b-2051-449d-9107-3d37dbbb1b0b;227;(90) 2973-5365
Paulo Saraiva;Rio Branco;Bahia;f6abc4fc-db1c-4232-a828-1553b897c2b3;359;(94) 7240-7176
Enzo Silva;Goiânia;São Paulo;649bde30-6bfc-4c70-9a54-87d49b8c46cc;946;(84) 5361-3210
Heloísa Santos;Cuiabá;Pará;06d47069-b9c2-4826-aa77-d8f9b61a2d6d;143;(97) 52651-8147
Ígor Xavier;Belém;Acre;cb1d92b1-e66e-4dca-b288-61c3e4a7a27c;364;(30) 52216-3373
Yango Moraes;Cuiabá;Maranhão;e20ee156-3153-4ec3-8758-2ca7a12764ca;543;(74) 30418-5226
Yango Carvalho;Vitória;Paraíba;71a323b1-dbd6-484e-8ebb-6e61f6a03730;190;(27) 9881-2953
Pietro Melo;Salvador;Bahia;c6178d4c-ea2c-42cd-94b7-c4cef9f3bc40;553;(79) 3374-6171
Davi Barros;Belém;Piauí;17603d49-5866-4c51-a079-ff13b9fa4c59;362;(25) 6079-8972
Yago Costa Neto;Natal;Mato Grosso;97aa258c-a48b-46a5-97c2-f97770ccc32a;261;(61) 71391-3700
Isabela Santos;Salvador;Espírito Santo;186a92c1-5c53-4652-bc81-5b55cfb7674f;534;(11) 7866-8259
Isabella Melo;Palmas;Distrito Federal;3fa9207c-6f32-4582-827d-f4fda5336200;109;(48) 4746-8401
Yango Melo;São Luís;Maranhão;7c2c9bbe-c058-4db7-8a37-544571b3269a;334;(39) 4107-4945
Yuri Macedo;Recife;Piauí;a791f196-972f-4ac9-8d58-a165ce351bc9;617;(57) 4602-8675
Gúbio Silva;Maceió;Pará;bff07e01-671b-436a-90ab-be79517d210b;407;(81) 4049-8462
Antonella Martins;Teresina;Rondônia;0836ada5-1d07-4ded-ae3d-199ba8cd4a3c;452;(87) 54957-3847
Lorraine Barros Filho;Brasília;Santa Catarina;340eb16c-066c-47b0-932d-b07bedad1538;639;(20) 6549-1818
Marli Batista;Curitiba;Rondônia;56f2b778-0607-4adf-a690-519c50462ab9;199;(50) 5362-0377
Pietro Oliveira;Macapá;Pará;a2aeaa8f-a9e4-4030-96c9-8b3974f07a75;665;(38) 4730-2711
Emanuelly Xavier;Fortaleza;Santa Catarina;3d962f31-4c07-4430-88eb-d38ab1c3b286;193;(73) 6123-1512
Yuri Martins;Vitória;Distrito Federal;b0e9431d-3493-4cee-8d8b-4a6acb669601;317;(24) 5266-3626
Ricardo Martins Neto;João Pessoa;Rio Grande do Norte;6c68e8ba-98da-4a8a-a2ab-0a51e9712f6f;826;(91) 3391-8500
Ricardo Reis;Cuiabá;Acre;6e21c21f-3ce5-447e-a471-55d3cc095952;276;(52) 5432-9933
João Miguel Franco;Natal;Santa Catarina;582606bf-db41-49bd-abbc-eb123e3d3f79;123;(30) 30203-0955
Felipe Souza Neto;Goiânia;Tocantins;23e00921-dc49-45a9-8466-eb873f741ba4;425;(49) 45489-9546
Dra. Bryan Nogueira;Teresina;Maranhão;49b2c356-1361-4b27-8618-d9a821120dc3;247;(54) 7031-7933
Cecília Pereira;Goiânia;Amapá;680473d7-e6ae-4cb0-af0c-80a1457904db;767;(22) 1650-4526
Davi Lucca Melo;Natal;Rio de Janeiro;aced501d-ebb5-4f87-a3e6-8d983694d9e9;189;(85) 2669-0079
Hélio Reis;Curitiba;Ceará;9085b993-e5fc-4fb4-aed8-f9622469bbcc;140;(83) 81472-6666
Márcia Macedo;Campo Grande;Maranhão;4321fab1-acf4-48f8-a7ac-828ee2023481;601;(92) 30232-0367
Bruna Saraiva Neto;Fortaleza;Pará;138404d4-c556-4504-bd27-0a551d1ccb12;401;(35) 87983-5227
Antônio Melo Filho;São Paulo;Acre;4d8a14e7-db38-4de2-a51c-0f3a18dc92b4;725;(35) 87702-5244
Danilo Barros;Teresina;Minas Gerais;7ac7d126-af81-4536-aef3-9f0a451c321a;944;(58) 88388-1363
Salvador Xavier;Manaus;Sergipe;a6245615-1602-46a6-a78c-cf2602a8396a;762;(37) 8190-6411
Ana Júlia Nogueira;Rio de Janeiro;Bahia;5599b3ef-7466-4b87-ab39-3daa8397989b;592;(54) 33864-3086
Miguel Xavier;Brasília;Rio Grande do Sul;2165812d-4da6-4401-baad-78bcea0db098;481;(48) 4128-3358
Frederico Franco;Teresina;Rio Grande do Sul;5b85fae0-d641-4cf6-bfeb-c464e829f4d9;589;(10) 3373-4511
Suélen Oliveira;São Paulo;Mato Grosso do Sul;2e73bdc6-bb7b-47e7-b62d-b8ea45548756;462;(13) 8420-5409
Janaína Moraes;São Luís;Ceará;5ee026b6-08d8-43fa-aae3-e1ba1e39a2ce;232;(40) 7219-3991
Ana Luiza Albuquerque;São Luís;Santa Catarina;74093a47-5d27-4cc9-b784-5be3c8446b70;981;(98) 6228-4716
Rebeca Reis;Palmas;Amapá;7946755b-7f90-45e0-bc2b-7318a51930d2;531;(27) 34779-8509
César Oliveira;Florianópolis;Distrito Federal;3aa6bfe4-4853-4f5d-90a9-2781aa98cdae;614;(20) 3082-9834
Sra. Leonardo Braga;São Paulo;Acre;7af6f633-d947-4c67-b0d9-58ca2e51ba37;836;(92) 68985-4177
Dr. Breno Barros;Natal;Amapá;760c9672-777d-49c7-ba8d-5b1717a3d4c3;417;(89) 9772-9786
Gustavo Santos Jr.;São Luís;Rio de Janeiro;fd3fd14b-ba98-4ba3-8f32-11fb750c40d7;277;(38) 5086-8217
Pablo Oliveira Jr.;Recife;Ceará;d4e7e25a-842c-440c-94d5-345095899c67;923;(31) 27298-3287
Marcela Moreira;São Paulo;Distrito Federal;4b3ad6a4-e7bc-4efe-b626-8654fdd361ee;286;(33) 59545-4771
Raul Martins;Maceió;Amazonas;12b94a99-0454-478c-ae9e-a81324a19731;355;(79) 71531-4506
Vitória Moreira;Belo Horizonte;Amazonas;77962044-f881-4312-bbc5-c308f83de32c;256;(95) 7516-5215
Talita Saraiva Neto;Vitória;Paraná;e0519af2-dcf7-4690-8564-49d1dd1a0478;189;(95) 1946-6567
Dr. Washington Albuquerque;Salvador;Tocantins;aa8c1f69-7890-461c-928f-697a741f87b1;102;(70) 3851-9426
Félix Martins;Goiânia;Roraima;04db84a4-7d31-456e-901c-01225571f578;229;(19) 82810-3444
Yago Albuquerque Neto;Palmas;Rondônia;b515fd9d-dba5-4b77-8bd2-083671a2baa2;352;(16) 8510-5714
Melissa Albuquerque Jr.;Porto Velho;Pará;497e42ba-e66e-4161-9605-8dfb932d6a77;512;(89) 4013-6426
Víctor Braga;Brasília;Mato Grosso do Sul;ca0b431e-393b-4e6b-af58-c93e760a99e4;328;(84) 35724-1045
Isaac Macedo;Belo Horizonte;Tocantins;828baa7a-f59e-4841-8ebd-cd526507861a;228;(34) 67514-0582
Sra. Noah Braga;Florianópolis;Santa Catarina;898cfe75-d35a-4f37-bbf7-f7385655f16e;259;(94) 9390-8301
Miguel Pereira;Vitória;Mato Grosso do Sul;a9ba3ac4-56c7-43a5-a355-fb0a08e88b86;360;(51) 4453-1336
Guilherme Reis Neto;Porto Alegre;Distrito Federal;37ccfe01-f4be-46cc-bcc3-828d9e2a9696;520;(85) 61763-9530
Breno Batista;Palmas;Paraná;03ac697a-fe2f-46d0-97d8-a6c64690c886;229;(66) 63495-7494
Ana Clara Souza;Palmas;Mato Grosso;d8665ebb-fe6e-477b-b070-98c6a5790fe8;186;(21) 5064-7704
Manuela Saraiva;Recife;Amazonas;8c5313c0-9e20-4545-a675-b8121b16a72f;219;(77) 68115-2115
Ana Laura Nogueira;Boa Vista;Roraima;5e0982d9-cfd5-4381-9b47-3b5e41275ddf;582;(44) 9585-6927
Fabiano Albuquerque;Macapá;Minas Gerais;991d1d87-a95b-42a6-a18e-8c81a892b795;820;(14) 51751-7555
Dr. Mariana Macedo;Belo Horizonte;Roraima;e9a18c6b-f0a7-4f2c-a237-f14e0cc876c8;774;(58) 8902-4200
Célia Pereira;Natal;Pernambuco;d899103b-fc42-4c73-9337-ec33dd0ce53d;494;(93) 8478-2236
Nicolas Macedo;Vitória;Rio de Janeiro;56c4f96e-7298-4dd5-901f-521504ee526a;886;(64) 4121-4324
Morgana Albuquerque;Florianópolis;Piauí;04fb1eaa-9c56-49f4-acd8-fcd42fa80739;885;(58) 1354-2129
Pietro Melo;Rio Branco;Espírito Santo;595e351b-4205-4470-90f8-46143bf0e2a5;317;(42) 8489-0977
Fábio Albuquerque;Maceió;Amapá;7df07c4f-5b87-4962-94d5-917be3e47eed;494;(87) 3985-0457
Srta. Pedro Henrique Melo;Boa Vista;Rio de Janeiro;688aeeaa-8a6b-46e8-97a4-f3832a92322f;920;(14) 5908-2524
Rafael Carvalho;Rio Branco;Piauí;9aca33ae-762f-4f33-8a57-f343cc6d6fac;970;(26) 5926-1625
Sílvia Souza;Palmas;Amapá;dada56d2-081b-4494-853e-dcfca47701af;219;(39) 63389-7298
Mércia Macedo;Macapá;Rondônia;8dc72b45-e095-4bce-9983-ccc8dc1b6aaf;468;(36) 4443-5781
Dra. Hélio Macedo;Fortaleza;Pará;85329282-5404-4410-9138-9d4636115e77;102;(97) 2772-3189
Benício Carvalho;Manaus;Mato Grosso do Sul;44d6dfa1-0a05-4944-ae01-b179cc9eee27;528;(66) 4960-3321
Caio Xavier;Belo Horizonte;Alagoas;0392120a-91d5-42f5-8729-de6ea1c9e723;564;(23) 29541-4005
Dr. Maria Alice Macedo;João Pessoa;Rio Grande do Norte;2b3e628e-5687-4be5-86fd-6299abd784b9;544;(12) 33924-6528
Vicente Macedo;Brasília;Pernambuco;0c58e873-941d-4b8d-a6e0-323403de35db;254;(40) 9168-4637
Salvador Costa;Rio de Janeiro;Mato Grosso;3d6acaae-09dd-4def-ac45-fa2d1f6e27b2;477;(81) 51967-9569
Roberta Barros;Macapá;Rondônia;0d11c857-526d-4973-97fe-48b544800d28;693;(96) 6032-1682
